Age,Gender,Weight,Height,Duration,Calories_Burned,Workout_Type
34,Male,71.9,1.64,1.26,929,Cardio
55,Male,75.6,1.71,1.03,663,Strength
41,Female,63.4,1.59,1.84,1267,Strength
22,Female,71.6,1.77,1.49,1177,Cardio
51,Female,57.4,1.77,1.08,598,Cardio
23,Male,83.8,1.99,1.79,1280,Cardio
39,Female,55.9,1.71,1.95,1443,Cardio
28,Male,87,1.76,1.2,799,Cardio
33,Female,65.3,1.71,1.18,796,Strength
50,Male,45.4,1.67,1.37,1071,Cardio
26,Male,87.1,1.87,1.71,1241,Cardio
23,Female,78.6,1.73,1.47,1147,Strength
33,Female,78,1.71,1.08,734,Cardio
46,Female,58,1.53,1.83,1153,Cardio
20,Female,71.3,1.69,1.28,1043,Strength
37,Male,49.1,1.74,1.11,842,Cardio
53,Female,78.3,1.65,1.24,703,Strength
36,Female,57.3,1.64,1.13,887,Strength
43,Female,48.4,1.61,1.28,732,Cardio
20,Male,76.4,1.62,1.35,980,Cardio
36,Male,110.2,1.77,1.19,1021,Strength
37,Female,72.9,1.76,1.21,732,Strength
49,Male,82.1,1.86,1.87,1481,Strength
24,Female,58.9,1.76,0.63,410,Strength
58,Male,82.2,1.87,1.57,1111,Strength
50,Male,96.7,1.72,1.46,903,Strength
57,Male,81.4,1.86,1.8,1292,Cardio
56,Male,107.8,1.73,1.09,680,Cardio
35,Female,65.8,1.62,1,790,Cardio
57,Female,68.5,1.56,1.45,900,Strength
18,Female,63.9,1.59,1.87,1169,Strength
28,Male,76.3,1.62,1.16,1034,Strength
45,Female,44.5,1.65,1.44,959,Cardio
42,Female,50.7,1.75,1.29,940,Strength
40,Female,55.1,1.61,1.55,1224,Cardio
48,Male,73.7,1.61,1.36,815,Cardio
47,Male,55.6,1.77,1.2,820,Cardio
59,Male,86.9,1.76,1.13,688,Strength
52,Female,60.3,1.68,1.6,900,Strength
24,Female,40.4,1.64,0.99,832,Strength
33,Female,78.5,1.66,1.29,1006,Strength
43,Male,102.6,1.72,0.82,597,Strength
19,Male,110.8,1.91,1.31,1074,Strength
18,Female,60.9,1.79,1.11,699,Cardio
29,Male,55.7,1.61,1.41,993,Strength
22,Male,110.5,1.92,1.16,919,Strength
54,Male,55.2,1.71,0.77,579,Cardio
49,Male,46.5,1.72,1.4,832,Cardio
26,Female,70.9,1.66,0.81,506,Strength
58,Male,74.6,1.75,1.09,739,Strength
52,Male,45.1,1.72,0.93,594,Cardio
36,Male,99.9,1.99,1.33,1075,Cardio
33,Male,117,1.61,1.04,744,Strength
20,Female,75.9,1.73,1.39,1056,Strength
37,Female,71.2,1.64,1.11,666,Strength
41,Male,78.8,1.72,1.01,660,Cardio
50,Male,50.6,1.69,1.31,1012,Cardio
41,Male,82.5,1.79,1.69,1163,Cardio
28,Male,108.5,1.79,1.33,878,Strength
25,Male,49.9,1.98,1.15,772,Cardio
53,Male,125.1,1.91,0.52,353,Strength
55,Female,79.7,1.66,1.06,763,Cardio
57,Male,126.8,1.63,0.96,632,Cardio
37,Female,54.6,1.57,1.31,982,Strength
52,Female,47.8,1.54,1.34,880,Cardio
42,Male,97.9,1.91,1.01,680,Strength
52,Female,63.1,1.54,1.36,1010,Strength
42,Female,72.4,1.69,1.07,713,Cardio
46,Female,58.9,1.7,1.52,1060,Strength
35,Female,50.4,1.6,1.03,803,Cardio
35,Female,64.2,1.59,1.63,1182,Cardio
19,Female,58.8,1.77,1.4,952,Strength
52,Male,105.2,1.62,1.36,949,Strength
33,Female,45.9,1.5,0.92,662,Cardio
58,Female,65.2,1.63,1.12,610,Strength
53,Female,56.3,1.79,1.52,964,Strength
50,Male,90,1.7,0.81,497,Cardio
21,Female,60,1.7,1.97,1212,Strength
50,Male,51.5,1.71,1.48,1136,Cardio
31,Female,63.1,1.64,1.54,962,Cardio
38,Male,91.5,1.77,0.8,616,Cardio
37,Male,48.7,1.67,1.39,1009,Cardio
25,Female,57.8,1.56,1.35,1053,Cardio
24,Female,42,1.75,0.83,598,Strength
20,Male,128.4,1.92,0.63,502,Cardio
34,Female,74.2,1.57,1.47,1161,Cardio
50,Male,89.6,1.68,1.79,1232,Cardio
29,Male,125.9,2,1.36,1137,Strength
39,Male,105.5,1.99,0.81,593,Strength
39,Male,93.4,1.7,1.1,938,Strength
47,Male,82.1,1.84,1.37,922,Strength
55,Female,42.9,1.69,0.9,567,Cardio
55,Male,128.4,1.68,1.13,923,Cardio
25,Male,112.4,1.96,1.42,1054,Cardio
44,Female,77.7,1.79,1.41,1047,Strength
44,Male,89.3,1.99,1.4,936,Strength
51,Female,70.3,1.55,1.4,876,Cardio
38,Female,59.1,1.72,1.07,792,Cardio
47,Female,49.9,1.69,1.48,979,Strength
50,Male,101.7,1.67,0.53,333,Strength
45,Male,93,1.91,1.03,729,Cardio
50,Male,87.4,1.6,0.77,465,Strength
22,Female,55.1,1.61,1.62,1166,Strength
36,Male,123.7,1.69,1.3,987,Cardio
21,Female,61.3,1.57,1.94,1474,Strength
52,Male,72.3,1.94,1.46,874,Cardio
34,Female,69.2,1.53,1.36,911,Strength
45,Male,81.4,1.61,1.14,796,Cardio
47,Male,84.8,1.86,1.85,1181,Strength
46,Male,55.1,1.72,1.43,970,Cardio
23,Female,59,1.78,1.67,1177,Cardio
52,Female,64.9,1.51,1.83,1359,Strength
58,Male,109.7,1.75,1.01,840,Strength
54,Male,78.4,1.9,0.81,585,Cardio
41,Female,76.7,1.79,1.4,832,Cardio
46,Female,63.1,1.61,1,684,Strength
48,Female,62.9,1.58,1.98,1105,Strength
52,Male,85.6,1.74,1.84,1321,Cardio
50,Female,66.3,1.57,1.25,742,Strength
38,Male,61.3,1.97,1.37,1100,Cardio
49,Female,44.1,1.65,1.16,694,Strength
40,Male,63.8,1.62,1.3,1022,Strength
50,Female,55.4,1.55,1.85,1016,Strength
20,Female,74.7,1.58,1.04,863,Strength
35,Female,78,1.67,1.13,949,Strength
42,Female,57.5,1.67,1.14,764,Cardio
59,Female,60.7,1.73,1.03,714,Cardio
48,Male,69,1.74,1.48,1223,Strength
20,Female,75.8,1.78,1.42,944,Strength
57,Female,75.7,1.63,0.69,407,Cardio
41,Female,71.2,1.64,1.42,939,Strength
49,Male,85,1.68,1.82,1468,Strength
39,Female,63.6,1.56,1.22,903,Strength
40,Male,73.2,1.94,0.81,722,Strength
19,Female,48.3,1.52,0.96,653,Strength
44,Female,42.8,1.78,1.49,1066,Strength
59,Male,88.1,1.76,1.35,1123,Strength
19,Female,72.4,1.75,1.2,840,Cardio
43,Male,73.2,1.88,1.17,822,Cardio
34,Male,110.5,1.86,1.42,1086,Cardio
57,Female,46.1,1.76,1.44,842,Strength
50,Male,90.8,1.71,1.07,810,Cardio
26,Female,59.3,1.51,1.7,1096,Strength
56,Female,45.1,1.73,0.83,482,Strength
46,Male,45,1.77,1.48,1187,Cardio
59,Male,89.4,1.62,1.43,885,Strength
43,Male,127.7,1.69,1.14,875,Cardio
52,Male,70.9,1.72,1.31,927,Strength
42,Female,49.2,1.5,1.15,678,Strength
41,Female,62.3,1.79,1.99,1451,Cardio
30,Male,64.1,1.87,0.64,500,Cardio
24,Female,69.7,1.75,1.41,1029,Cardio
53,Female,56.9,1.59,1.49,1100,Strength
37,Female,53,1.71,1.13,881,Cardio
18,Female,72.7,1.55,0.84,525,Cardio
25,Male,76.5,1.96,0.67,442,Strength
33,Male,113.6,1.99,1.38,949,Strength
31,Female,62.5,1.62,1.56,1318,Strength
29,Male,95.2,1.86,0.64,496,Cardio
40,Male,51.7,1.82,0.9,792,Strength
32,Male,105.3,1.67,0.57,448,Cardio
45,Female,71.2,1.68,1.37,888,Strength
51,Female,78.1,1.51,0.92,555,Strength
19,Female,50.6,1.68,1.21,877,Cardio
49,Male,70.2,1.89,0.7,440,Cardio
40,Female,62.6,1.53,1.93,1380,Cardio
39,Female,60.6,1.65,0.92,768,Strength
42,Male,76.4,1.97,1.14,886,Strength
39,Female,63.3,1.71,1.88,1175,Strength
39,Female,68.6,1.64,1.33,1024,Cardio
59,Male,123.3,1.88,1.3,1036,Strength
23,Male,107,1.94,1.35,891,Strength
32,Male,68.3,1.92,1.42,1289,Strength
54,Female,47.8,1.6,1.19,830,Cardio
50,Female,58.4,1.79,1.6,943,Strength
25,Female,74.3,1.71,1.43,1123,Cardio
22,Male,106.8,1.82,1,715,Cardio
56,Male,125.5,1.8,1.26,817,Strength
21,Female,55.2,1.55,1.37,1103,Strength
23,Female,71.4,1.72,1.25,1056,Strength
49,Male,77.7,1.61,1.03,806,Strength
47,Male,88.4,1.6,1.86,1160,Strength
52,Male,104.8,1.99,0.93,598,Cardio
57,Male,82.2,1.69,1.15,882,Strength
33,Female,68.2,1.75,0.85,638,Strength
30,Male,91.4,1.99,1.37,1145,Strength
59,Female,42.1,1.65,1.22,725,Strength
47,Female,68.7,1.76,1.37,845,Strength
36,Female,47.2,1.74,1.5,1200,Cardio
34,Male,92,1.76,0.73,574,Cardio
36,Male,56.2,1.95,1.09,767,Strength
45,Male,58.4,1.72,1.31,973,Strength
43,Male,82.9,1.95,1.9,1505,Cardio
54,Female,66.9,1.74,1.24,720,Strength
43,Male,66.3,1.85,1.18,707,Cardio
40,Male,93.6,1.93,1.38,1192,Cardio
26,Female,64.1,1.5,1.93,1293,Strength
29,Male,86.7,1.62,1.52,1020,Strength
18,Female,62,1.59,1.23,996,Strength
18,Female,58.1,1.61,1.9,1425,Cardio
51,Female,64.9,1.6,1.49,838,Cardio
49,Female,69.3,1.62,1.14,626,Strength
42,Female,42.7,1.74,1.04,608,Strength
57,Female,51.4,1.63,1.2,724,Cardio
18,Female,67.4,1.6,0.6,492,Strength
33,Female,55.6,1.61,1.77,1301,Cardio
56,Male,125.3,1.86,1,639,Cardio
22,Male,102.1,1.85,1.48,1278,Cardio
39,Male,61.9,1.77,1.32,1205,Strength
46,Male,108.8,1.64,1.4,1171,Strength
20,Female,51.1,1.58,0.5,422,Cardio
29,Male,81.7,1.99,1.45,1005,Strength
43,Female,42.7,1.66,0.73,440,Cardio
33,Male,81.8,1.99,1.59,1198,Strength
54,Male,54.6,1.76,1.28,868,Cardio
39,Male,107.7,1.88,0.72,634,Strength
46,Female,56.9,1.6,0.88,566,Cardio
31,Male,78.8,1.71,1.49,992,Strength
45,Female,48.2,1.64,1.25,894,Strength
22,Female,50.7,1.59,1.27,883,Strength
47,Male,86.6,1.99,1.98,1500,Strength
22,Male,96.3,1.63,1.35,1203,Cardio
29,Male,80.8,1.98,1.65,1316,Strength
33,Female,58,1.53,1.84,1159,Strength
43,Male,95.9,1.85,1.28,995,Cardio
43,Female,61.5,1.58,1.86,1247,Strength
38,Female,40.6,1.79,0.62,499,Cardio
56,Male,82.5,1.87,1.51,927,Cardio
53,Male,105.1,1.84,0.69,444,Cardio
50,Female,58.1,1.58,1.93,1042,Cardio
47,Female,61,1.76,1.54,1060,Strength
54,Female,64.5,1.53,1.74,940,Cardio
40,Male,58.2,1.98,1.43,1085,Cardio
27,Female,69.5,1.76,0.94,569,Strength
22,Male,62.2,1.84,0.51,393,Strength
53,Female,68,1.7,1.06,663,Strength
51,Female,56.3,1.5,1.43,914,Cardio
48,Male,94.5,1.7,1.01,700,Cardio
27,Female,58,1.79,1.39,994,Cardio
36,Male,84,1.94,1.8,1218,Strength
49,Male,61,1.87,1.14,739,Strength
18,Female,64.8,1.53,1.98,1396,Cardio
22,Male,45.7,1.77,1.04,795,Strength
21,Male,80.9,1.9,1.8,1356,Cardio
33,Female,64.1,1.63,1.58,948,Strength
41,Male,67,1.77,1.22,900,Strength
33,Male,106.5,1.6,1.4,1170,Strength
19,Male,95.1,1.85,1.21,952,Cardio
45,Female,65.5,1.57,0.66,395,Cardio
49,Male,105.7,1.64,1.2,921,Cardio
44,Female,48,1.76,0.88,491,Cardio
37,Female,69.5,1.5,0.69,448,Cardio
41,Male,66.1,1.69,0.77,545,Cardio
29,Male,68,1.7,0.76,627,Strength
52,Male,50.3,1.78,0.85,555,Strength
50,Female,69.3,1.68,1.2,729,Strength
50,Male,86.7,1.63,1.7,1203,Cardio
54,Male,125.9,1.94,1.35,882,Strength
29,Male,88.1,1.93,1.88,1479,Cardio
20,Male,124.3,1.82,1.25,997,Cardio
18,Male,62,1.85,0.88,586,Strength
50,Female,69.7,1.72,1.24,753,Strength
57,Female,60.9,1.52,1.31,926,Strength
27,Male,76.5,1.97,1.13,1025,Strength
46,Male,94.7,1.82,1.47,873,Cardio
30,Male,67.9,1.75,1.25,1155,Cardio
29,Male,121.1,1.87,1.31,937,Strength
48,Female,71.5,1.64,1.46,1012,Cardio
19,Male,98.6,1.7,0.83,740,Cardio
52,Female,68.2,1.63,1.17,779,Strength
40,Female,57.7,1.69,1.18,920,Strength
34,Male,124.6,1.63,1.41,1055,Strength
43,Female,73,1.59,1.31,931,Cardio
25,Female,59.4,1.51,1.62,1304,Cardio
46,Female,52,1.65,0.7,463,Cardio
43,Female,42.2,1.65,1.33,886,Cardio
27,Male,89.3,1.64,1.82,1622,Strength
43,Male,110,1.76,1.09,658,Cardio
51,Female,66.2,1.58,0.86,499,Strength
58,Male,58.6,1.66,1.21,964,Strength
24,Male,51,1.67,0.97,710,Strength
21,Male,101.5,1.95,0.97,699,Cardio
28,Male,114.2,1.87,1.05,959,Strength
46,Male,54.4,1.72,0.91,725,Cardio
53,Female,52.4,1.57,1.34,898,Strength
42,Male,85.2,1.81,1.54,1151,Cardio
38,Male,83.6,1.74,1.66,1379,Cardio
53,Male,115.4,1.92,1.36,1084,Cardio
27,Male,71.2,1.97,0.74,615,Strength
54,Female,78.1,1.6,1.1,718,Cardio
26,Female,54.2,1.65,1.07,642,Cardio
41,Female,77.6,1.76,1.27,920,Strength
52,Female,44.1,1.62,1.41,768,Strength
52,Male,85.5,1.8,1.7,1144,Strength
53,Female,47.8,1.76,1.06,711,Strength
35,Male,102.5,1.94,0.84,730,Cardio
56,Male,118,1.9,0.66,412,Strength
49,Male,82.3,1.84,1.29,932,Strength
41,Male,81.6,1.87,1.87,1185,Strength
40,Male,60.2,1.88,1.22,946,Cardio
49,Female,49.2,1.54,1.28,881,Strength
54,Female,46.6,1.5,1.38,1025,Strength
29,Female,68.7,1.72,1.08,907,Cardio
30,Female,60.6,1.55,1.3,780,Strength
40,Male,52.1,1.61,0.87,612,Strength
42,Female,46.6,1.77,0.61,382,Cardio
52,Male,65.5,1.74,1.48,1011,Strength
58,Female,44.2,1.57,1.08,753,Strength
47,Male,89.1,1.84,1.44,1133,Cardio
34,Male,65.9,1.62,0.81,731,Cardio
37,Female,55.6,1.57,0.97,597,Cardio
42,Male,63.7,1.98,1.37,868,Cardio
39,Male,86.2,1.82,1.96,1725,Strength
30,Female,59.2,1.63,1.85,1304,Strength
36,Male,85.4,1.88,1.98,1492,Cardio
53,Female,68.1,1.55,1.41,831,Strength
29,Female,60,1.62,0.85,684,Strength
58,Female,74.8,1.69,1.28,933,Strength
36,Male,90.3,1.65,1.38,1199,Cardio
29,Male,86.1,1.65,1.66,1169,Strength
26,Male,73.7,1.66,0.93,639,Cardio
24,Female,67.7,1.56,1.42,980,Strength
45,Male,78.3,1.96,1.29,1066,Cardio
31,Female,48.2,1.65,1.1,913,Cardio
48,Female,56.8,1.51,1.37,777,Strength
36,Male,112.4,1.63,1.02,757,Cardio
33,Female,59,1.67,0.9,558,Cardio
22,Male,98.4,1.88,0.52,386,Cardio
52,Male,66.5,1.6,1.34,796,Strength
29,Male,106.5,1.81,1.29,1107,Cardio
42,Male,88.4,1.93,1.68,1314,Cardio
38,Male,88.4,1.79,1.74,1321,Cardio
53,Female,53.3,1.74,1.37,962,Strength
40,Female,58.1,1.56,0.61,415,Cardio
33,Female,74.2,1.76,1.15,834,Strength
56,Male,84.6,1.63,1.01,705,Strength
59,Male,78,1.92,0.72,453,Cardio
56,Male,89,1.68,1.77,1332,Cardio
31,Female,42.7,1.76,1.46,883,Strength
48,Male,83.9,1.82,1.9,1401,Strength
22,Female,78.7,1.52,1.45,1204,Strength
52,Female,65.9,1.52,1.27,794,Cardio
40,Male,76.9,1.92,1.13,851,Cardio
46,Male,84.3,2,1.83,1467,Strength
28,Female,62.4,1.6,1.1,710,Strength
35,Male,63.7,1.74,1.03,810,Strength
29,Female,54.9,1.52,1.48,910,Strength
26,Male,76.4,1.79,1.17,1004,Strength
27,Male,106.4,1.86,1.34,907,Cardio
34,Female,68.4,1.5,1.37,904,Cardio
55,Male,63.5,1.86,1.36,969,Strength
24,Female,59.4,1.5,1.25,825,Cardio
30,Male,113.4,1.91,1.27,957,Strength
57,Female,61.9,1.52,0.92,592,Strength
59,Female,70.7,1.68,1.17,637,Cardio
26,Male,111.5,1.9,1.02,937,Cardio
44,Female,72.1,1.66,1.4,958,Strength
19,Male,56.9,1.87,0.61,463,Cardio
22,Male,86.2,1.9,1.91,1345,Strength
46,Male,59.4,1.68,1.16,844,Strength
54,Female,75.6,1.72,0.97,672,Cardio
55,Female,76.3,1.73,1.08,768,Cardio
36,Male,95.8,1.86,1.37,972,Strength
25,Male,120.6,1.83,1.04,686,Cardio
18,Female,65.3,1.55,1.42,1143,Cardio
39,Male,85.3,1.89,0.77,593,Strength
34,Male,68,1.68,0.67,472,Cardio
24,Female,52.6,1.57,1.29,1071,Strength
42,Male,63.3,1.77,1.32,876,Strength
21,Female,76.3,1.65,1.14,878,Strength
53,Male,61,1.63,0.54,331,Cardio
23,Female,67.8,1.61,1.34,1072,Strength
48,Male,114.9,1.86,1.36,949,Cardio
36,Male,88,1.71,1.87,1646,Strength
56,Female,67.7,1.58,1.45,927,Strength
44,Male,124.8,1.85,1.35,842,Strength
27,Female,53,1.58,1.26,895,Cardio
43,Male,61.2,1.88,1.03,831,Cardio
36,Female,48.7,1.68,1.23,886,Cardio
56,Female,50.6,1.7,1.29,848,Strength
20,Female,72.6,1.73,1.27,1016,Strength
30,Female,70.4,1.56,1.03,644,Cardio
45,Male,52.5,1.88,1.08,818,Strength
37,Male,76.3,1.77,1.36,957,Strength
45,Female,41.2,1.58,1.47,1111,Strength
25,Female,55.3,1.76,1.56,1186,Cardio
58,Female,49.7,1.67,1.38,776,Strength
56,Male,48.3,1.87,0.68,525,Strength
18,Male,83.2,1.96,1.83,1510,Strength
20,Male,120.5,1.73,1.01,850,Cardio
30,Male,121.6,2,1.24,1091,Cardio
45,Female,73,1.75,1.14,759,Cardio
